Identificador do Projeto,Nome do Projeto de Extensão,Área Temática do Projeto,Número de Participantes,Tipos de Parceiros Envolvidos,Bolsas pagas,Data da Apuração
CR001-2022,APRENDENDO A PROGRAMAR COM O PYTHON TURTLE GRAPHICS,EDUCAÇÃO,15,N.A.,0,06/09/2022
CR003-2022,PRODUÇÃO DE RECURSOS DIDÁTICOS PARA O ENSINO INCLUSIVO DE CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS A ESTUDANTES COM DEFICIÊNCIA VISUAL,EDUCAÇÃO,3,N.A.,2,06/09/2022
CR004-2022,CURSO TRANSIÇÃO ENERGÉTICA E OS AQUECEDORES SOLARES DE BAIXO CUSTO,TECNOLOGIA E PRODUÇÃO,12,N.A.,2,06/09/2022
CR005-2022,CURSO DE INTRODUÇÃO E APERFEIÇOAMENTO EM INSTALAÇÕES ELÉTRICAS PREDIAIS,EDUCAÇÃO,3,N.A.,2,06/09/2022
CR006-2022,CURSO DE INICIAÇÃO ESPORTIVA - BASQUETEBOL CEFET – MG - ARAXÁ,EDUCAÇÃO,1,N.A.,1,06/09/2022
CR007-2022,PRINCÍPIOS DE FUNCIONAMENTO DE UM MOTOR VEICULAR,TECNOLOGIA E PRODUÇÃO,6,N.A.,2,06/09/2022
CR008-2022,ESCRITA EM CONTEXTO DE AVALIAÇÃO: A REDAÇÃO DO ENEM,EDUCAÇÃO,9,N.A.,2,06/09/2022
CR009-2022,PAIDEIA DIGITAL: PROJETO DE INICIAÇÃO TECNOLÓGICA,TECNOLOGIA E PRODUÇÃO,2,N.A.,2,06/09/2022
CR010-2022,"FORMAÇÃO DE PROFESSORES, TIC E PROMOÇÃO DOS LETRAMENTOS – EDIÇÃO 2022",EDUCAÇÃO,14,ÓRGÃO PÚBLICO,2,06/09/2022
CR011-2022,DESENVOLVENDO HABILIDADES SOCIOEMOCIONAIS,SAÚDE,2,N.A.,1,06/09/2022
CR012-2022,CURSO DE APERFEIÇOAMENTO PARA PROFESSORES DE MATEMÁTICA DO ENSINO MÉDIO,EDUCAÇÃO,28,N.A.,1,06/09/2022
CR013-2022,"OFICINA DE PALEOGRAFIA: PATRIMÔNIO DOCUMENTAL, A IMPORTÂNCIA DA SUA CONSERVAÇÃO E APROPRIAÇÕES PARA O ENSINO.",EDUCAÇÃO,7,N.A.,1,06/09/2022
CR014-2022,MULHERES ELETRICISTAS: CURSO DE ELETRICIDADE BÁSICA PARA INICIANTES,EDUCAÇÃO,6,N.A.,2,06/09/2022
CR019-2022,OFICINA CANVAS PET ADM,TECNOLOGIA E PRODUÇÃO,12,N.A.,0,06/09/2022
CR020-2022,TAMBORES DE MINAS: TRADIÇÃO DE IMAGEM E SOM,CULTURA,2,N.A.,0,06/09/2022
EV001-2022,III ENCONTRO DE ANÁLISE AMBIENTAL,MEIO AMBIENTE,5,N.A.,0,06/09/2022
EV002-2022,I ENCONTRO MINEIRO DOS PROFMATS,EDUCAÇÃO,15,N.A.,0,06/09/2022
EV003-2022,"VI SEMINÁRIO INTEGRAÇÃO: PESQUISA, ENSINO E EXTENSÃO | VI SIEPEX",EDUCAÇÃO,13,N.A.,0,06/09/2022
EV004-2022,"SEMANA CEFETMAKER, CAMPUS VARGINHA.",TECNOLOGIA E PRODUÇÃO,65,N.A.,0,06/09/2022
EV005-2022,SEMANA DA COMPUTAÇÃO,TECNOLOGIA E PRODUÇÃO,13,N.A.,0,06/09/2022
EV006-2022,IV ENCONTRO MINEIRO DE PSICOLINGUÍSTICA / I ENCONTRO BRASILEIRO DE PSICOLINGUÍSTICA,EDUCAÇÃO,13,N.A.,0,06/09/2022
EV007-2022,VI SEMANA DE ENGENHARIA CIVIL DO CEFET MG - UNIDADE VARGINHA,EDUCAÇÃO,16,N.A.,0,06/09/2022
EV008-2022,COPA AZIMUTE NORTE DE ORIENTAÇÃO 2022 VARGINHA,EDUCAÇÃO,24,N.A.,0,06/09/2022
EV009-2022,SEMANA DA ELETROMECÂNICA E MECÂNICA - SELMEC,TECNOLOGIA E PRODUÇÃO,4,N.A.,0,06/09/2022
EV010-2022,2ª JORNADA CEFET MAKER_CAMPUS DIVINÓPOLIS,TECNOLOGIA E PRODUÇÃO,1,N.A.,0,06/09/2022
EV011-2022,I OLIMPÍADA DE MATEMÁTICA DO CEFET-MG,EDUCAÇÃO,33,N.A.,0,06/09/2022
EV012-2022,SEMANA DA ELÉTRICA,TECNOLOGIA E PRODUÇÃO,8,N.A.,0,06/09/2022
EV013-2022,GINCANA DE CONHECIMENTOS (SHOW DO PONTÃO),EDUCAÇÃO,4,N.A.,0,06/09/2022
EV014-2022,2ª JORNADA CEFET MAKER,EDUCAÇÃO,22,N.A.,0,06/09/2022
EV015-2022,2º ENCONTRODE FORMAÇÃO DE PROFESSORES DE DIVINÓPOLIS E REGIÃO: O DESAFIO DE IMPLEMENTAR O NOVO ENSINO MÉDIO EM MEIO AOS IMPACTOS DA PANDEMIA DE COVID-19,EDUCAÇÃO,8,ÓRGÃO PÚBLICO,0,06/09/2022
EV018-2022,DIA DO MEIO AMBIENTE: COMPREENDENDO OS DESAFIOS COM ABORDAGENS EDUCATIVAS,MEIO AMBIENTE,7,N.A.,0,06/09/2022
EV020-2022,MOSTRA ECOFALANTE DE CINEMA CEFET-MG,CULTURA,4,ONG,0,06/09/2022
PG001-2022,VIRANDO A PÁGINA,DIREITOS HUMANOS E JUSTIÇA,4,ÓRGÃO PÚBLICO,3,06/09/2022
PG002-2022,"MUNDO MAKER: EDUCAÇÃO, DESENVOLVIMENTO E CIDADANIA",EDUCAÇÃO,15,N.A.,3,06/09/2022
PG003-2022,"PROGRAMA SOFIA: A CONEXÃO DE TERRITÓRIOS COM A AGROECOLOGIA, OS OBJETOS DE APRENDIZAGEM E OS SABERES POPULARES",EDUCAÇÃO,23,ESCOLA,3,06/09/2022
PG004-2022,PROGRAMA ENXURRADA DE BITS,EDUCAÇÃO,13,N.A.,3,06/09/2022
PG005-2022,START (SI): INOVAÇÃO E EMPREENDEDORISMO ESCOLA-INDÚSTRIA,TECNOLOGIA E PRODUÇÃO,8,N.A.,3,06/09/2022
PG006-2022,NÚCLEO DE ORIENTAÇÃO PARA A SUSTENTABILIDADE,MEIO AMBIENTE,10,PREFEITURA,3,06/09/2022
PG007-2022,PENSAR JOVEM: FAZER SENTIDO,COMUNICAÇÃO,21,UNIVERSIDADE,3,06/09/2022
PG008-2022,"(CON)TEXTUS: LEITURA, ESCRITA E CRÍTICA SOCIAL",EDUCAÇÃO,24,ESCOLA,3,06/09/2022
PG009-2022,CENTRAL CEFET-MG DE MIDIAS DIGITAIS,COMUNICAÇÃO,27,N.A.,3,06/09/2022
PG010-2022,"“MULHER IMANENTE: LUGAR DE FALA, INTERAÇÃO, REPRESENTATIVIDADE E AÇÃO” (LIRA)",EDUCAÇÃO,19,N.A.,3,06/09/2022
PG011-2022,A ESCRITA DE SI COMO INSTRUMENTO DE VISIBILIDADE PARA OS TERCEIRIZADOS DO CEFET-MG,EDUCAÇÃO,16,N.A.,0,06/09/2022
PG012-2022,CEPETZ,MEIO AMBIENTE,15,ONG,0,06/09/2022
PG013-2022,ELAS.NET - REDE DE MULHERES NA COMPUTAÇÃO,EDUCAÇÃO,3,N.A.,0,06/09/2022
PG014-2022,PROGRAMA DE EXTENSÃO AZIMUTE NORTE,EDUCAÇÃO,18,ONG,0,06/09/2022
PG017-2022,PROGRAMA DE AÇÕES AMBIENTAIS PARA ÁREA DE PRESERVAÇÃO AMBIENTAL PARQUE ESTADUAL FERNÃO DIAS | CONTAGEM-MG,MEIO AMBIENTE,5,UNIDADE DE CONSERVAÇÃO,0,06/09/2022
PG018-2022,GTMAT - GRUPO DE TRABALHO DE PROFESSORES DE MATEMÁTICA NO CEFET-MG,EDUCAÇÃO,2,ESCOLA,0,06/09/2022
PG019-2022,CLUBE DO LIVRO/ BOOK CLUB/ CLUBE DEL LIBRO/ CLUBINHO DO LIVRO,CULTURA,7,UNIVERSIDADE,0,06/09/2022
PJ013-2022,GUIA DE CARREIRA PARA ALUNOS DO ENSINO PÚBLICO DE NEPOMUCENO-MG,EDUCAÇÃO,15,N.A.,0,06/09/2022
PJ015-2022,CONSTRUINDO EDUCAÇÃO AMBIENTAL EM REDE: MOSTRA FOTOGRÁFICA E OFICINA DE LITERATURA DO AMB-ART – GRUPO DE ARTE AMBIENTAL DO CEFET ARAXÁ,MEIO AMBIENTE,13,ESCOLA,2,06/09/2022
PJ016-2022,KWREP: A ARTE DE CONECTAR,CULTURA,7,N.A.,2,06/09/2022
PJ017-2022,CESTA CULTURAL: DO PALCO ÀS TELAS - EDIÇÃO 2022,CULTURA,8,N.A.,2,06/09/2022
PJ018-2022,GRUPO DE ARTE E CULTURA LEPCE: IDENTIDADE E CONEXÕES,COMUNICAÇÃO,4,UNIVERSIDADE,2,06/09/2022
PJ019-2022,GRUPO FOLCLÓRICO ASSUM PRETO,CULTURA,4,N.A.,2,06/09/2022
PJ020-2022,PINTURA E PROSA,SAÚDE,3,N.A.,1,06/09/2022
PJ021-2022,ARTE E TRANSPORTES: PERCEPÇÃO E ACESSO,EDUCAÇÃO,10,MUSEU,2,06/09/2022
PJ022-2022,ENGLISH CLUB: ENCONTROS ONLINE DE CONVERSAÇÃO EM LÍNGUA INGLESA,EDUCAÇÃO,4,N.A.,1,06/09/2022
PJ023-2022,INGLÊS NO CEFET ARAXÁ: FORMAÇÃO INICIAL E CONTINUADA PARA A COMUNIDADE INTERNA E EXTERNA.,EDUCAÇÃO,3,N.A.,2,06/09/2022
PJ024-2022,"NÚCLEO DE INOVAÇÃO, EMPREENDEDORISMO E TECNOLOGIA DO CEFET CAMPUS NEPOMUCENO",TECNOLOGIA E PRODUÇÃO,5,N.A.,2,06/09/2022
PJ025-2022,SISTEMA ESPECIALISTA PARA IDENTIFICAÇÃO DE PLANTAS TÓXICAS PRESENTES NAS PASTAGENS BRASILEIRAS,TECNOLOGIA E PRODUÇÃO,3,UNIVERSIDADE,2,06/09/2022
PJ026-2022,QUIQUESTÕES: GERADOR DE LISTAS DE QUESTÕES DE QUÍMICA,EDUCAÇÃO,3,N.A.,2,06/09/2022
PJ027-2022,OFICINA DE RECUPERAÇÃO DE COMPUTADORES DOADOS PARA ESTUDANTES DO CEFET-MG E DE INSTITUIÇÕES PÚBLICAS DA REGIÃO METROPOLITANA DE BELO HORIZONTE,TECNOLOGIA E PRODUÇÃO,4,N.A.,2,06/09/2022
PJ028-2022,ASTRONOMIA NA PONTA DOS DEDOS,EDUCAÇÃO,1,N.A.,2,06/09/2022
PJ029-2022,JÁ PENSÔ? CANAL PARA CONSCIENTIZAÇÃO SOBRE A IMPORTÂNCIA DA CIÊNCIA,COMUNICAÇÃO,6,N.A.,2,06/09/2022
PJ030-2022,DESIGN E MEMÓRIA: CONSTRUINDO A IDENTIDADE VISUAL E A VISIBILIDADE DE UM PROGRAMA DE EXTENSÃO DO CEFET-MG,TECNOLOGIA E PRODUÇÃO,4,N.A.,0,06/09/2022
PJ031-2022,ESPAÇO CIÊNCIAS DA NATUREZA: AMBIENTE CRIATIVO PARA ENSINO-APRENDIZAGEM,EDUCAÇÃO,11,ESCOLA,0,06/09/2022
PJ033-2022,"MANUTENÇÃO EM SISTEMAS DE REFRIGERAÇÃO INDUSTRIAL, COMERCIAL E RESIDENCIAL",TECNOLOGIA E PRODUÇÃO,8,N.A.,0,06/09/2022
PJ034-2022,IMPLANTAÇÃO DE UMA COMPOSTEIRA COMUNITÁRIA NA APA PARQUE FERNÃO DIAS E EDUCAÇÃO AMBIENTAL PARA A COMUNIDADE E ESCOLAS MUNICIPAIS AO REDOR.,MEIO AMBIENTE,5,PREFEITURA,0,06/09/2022
PJ035-2022,"PLANEJAMENTO, AÇÕES E EDUCAÇÃO SOCIOAMBIENTAL PARA O PARQUE GENTIL DINIZ | CONTAGEM-MG",MEIO AMBIENTE,3,PREFEITURA,1,06/09/2022
PJ036-2022,CURSOS DE PROGRAMAÇÃO DE COMPUTADORES COM ORIENTAÇÃO A OBJETOS E JAVA,EDUCAÇÃO,1,ÓRGÃO PÚBLICO,2,06/09/2022
PJ037-2022,INICIAÇÃO EM PROGRAMAÇÃO PARA ALUNOS DE ESCOLAS DE LEOPOLDINA E REGIÃO,EDUCAÇÃO,3,N.A.,2,06/09/2022
PJ038-2022,E-BRIDGE.BR – CONSTRUINDO PONTES ENTRE A SOCIEDADE E A ACADEMIA,TECNOLOGIA E PRODUÇÃO,6,PESSOA FÍSICA,2,06/09/2022
PJ039-2022,DESENVOLVIMENTO E VALIDAÇÃO DE MATERIAIS DIDÁTICOS PARA O ENSINO DE BIOLOGIA,EDUCAÇÃO,7,PESSOA FÍSICA,2,06/09/2022
PJ040-2022,PORTAL DA SOCIEDADE,TECNOLOGIA E PRODUÇÃO,6,PESSOA FÍSICA,2,06/09/2022
PJ041-2022,REVISTA CEFETIANDO,EDUCAÇÃO,4,N.A.,2,06/09/2022
PJ042-2022,ATITUDE EMPREENDEDORA MAKER,TECNOLOGIA E PRODUÇÃO,8,N.A.,2,06/09/2022
PJ043-2022,CLUBE DE LEITURA CEFETIANDO - UNIDADE LEOPOLDINA,CULTURA,6,N.A.,2,06/09/2022
PJ044-2022,PODCAST PODEQUE,CULTURA,2,N.A.,2,06/09/2022
PJ045-2022,AULA ABERTA,EDUCAÇÃO,5,EDITORA,2,06/09/2022
PJ046-2022,LOMBADA: JORNAL-LABORATÓRIO,COMUNICAÇÃO,4,N.A.,2,06/09/2022
PJ047-2022,CLUBE DE CINEMA CEFETIANDO,CULTURA,6,N.A.,2,06/09/2022
PJ048-2022,A @METALOQUÍMICA DA VIDA: UM PROJETO DE DIVULGAÇÃO CIENTÍFICA NAS REDES SOCIAIS,EDUCAÇÃO,1,N.A.,2,06/09/2022
PJ049-2022,"PROJETO ""INCLUIR-CIÊNCIA"": CRIAÇÃO E DESENVOLVIMENTO DE RECURSOS DIDÁTICOS FUNDAMENTADOS EM MODELAGEM PARA O ENSINO INCLUSIVO DE CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS A ESTUDANTES COM DEFICIÊNCIA VISUAL",EDUCAÇÃO,6,N.A.,2,06/09/2022
PJ050-2022,INSPEÇÃO PREDIAL EM EDIFICAÇÕES POPULARES NO MUNICÍPIO DE CURVELO/MG,TRABALHO,3,N.A.,2,06/09/2022
PJ051-2022,"GRUPO DE ARTE E CULTURA ""MÍMESIS""",CULTURA,11,ONG,2,06/09/2022
PJ052-2022,SEMPRI 4.0 – SEMINÁRIOS EM EMPREENDEDORISMO E INOVAÇÃO PARA INDÚSTRIA 4.0,TECNOLOGIA E PRODUÇÃO,6,EMPRESA PRIVADA,2,06/09/2022
PJ053-2022,"ARTES DE CURAR, REZAR E BRINCAR: SABERES, TRADIÇÕES E SUAS RESISTÊNCIAS AO APAGAMENTO NOS AGLOMERADOS CABANA DO PAI TOMÁS E DA SERRA",CULTURA,25,ESCOLA,2,06/09/2022
PJ054-2022,A CIÊNCIA EM UMA ABORDAGEM INTERDISCIPLINAR,EDUCAÇÃO,3,N.A.,2,06/09/2022
PJ055-2022,OPEN FOOD BRASIL - PLATAFORMA AGROECOLÓGICA E PARTICIPATIVA,TECNOLOGIA E PRODUÇÃO,7,ONG,2,06/09/2022
PJ056-2022,PROJETO DE EXTENSÃO AZIMUTE NORTE: ESPORTE ORIENTAÇÃO NO CEFET MG - CAMPUS ARAXÁ,SAÚDE,4,N.A.,2,06/09/2022
PJ057-2022,"""ENTRE CARTAS..."" COM SUA COMUNIDADE: ONEYDA E MÁRIO",EDUCAÇÃO,9,ESCOLA,2,06/09/2022
PJ058-2022,"PODCAST ""SALVE CIÊNCIA"": LETRAMENTO CIENTÍFICO E COMUNIÇÃO PÚBLICA DA CIÊNCIA E DATECNOLOGIA",COMUNICAÇÃO,9,N.A.,2,06/09/2022
PJ059-2022,FRACTAL - EQUIPE DE TREINAMENTO DE COMPETIÇÕES OLÍMPICAS DE MATEMÁTICA,EDUCAÇÃO,35,ESCOLA,1,06/09/2022
PJ061-2022,ROLÊ MAKER,TECNOLOGIA E PRODUÇÃO,20,ESCOLA,2,06/09/2022
PJ062-2022,CEPETZ - VARGINHA,MEIO AMBIENTE,16,PESSOA FÍSICA,0,06/09/2022
PJ063-2022,CLUBE DO LIVRO,EDUCAÇÃO,4,N.A.,0,06/09/2022
PJ066-2022,FANFICTION CLUB: CÍRCULO DE LEITURAS E ESCRITAS DE NARRATIVAS DE FÃS FANFICTION CLUB: CÍRCULO DE LEITURAS E ESCRITAS DE NARRATIVAS DE FÃS,EDUCAÇÃO,5,N.A.,0,06/09/2022
PJ068-2022,EDUCOMUNICAÇÃO SOCIOAMBIENTAL VIA REDE SOCIAL PARA UNIDADES DE CONSERVAÇÃO E ÁREAS VERDES,MEIO AMBIENTE,9,UNIDADE DE CONSERVAÇÃO,0,06/09/2022
PJ070-2022,TERÇA ASTRONÔMICA 2022,EDUCAÇÃO,11,N.A.,0,06/09/2022
PJ072-2022,CLUBE DE XADREZ DO CEFET-MG - CAMPUS TIMÓTEO,EDUCAÇÃO,2,N.A.,0,06/09/2022
PJ073-2022,"PARTICIPAÇÃO NO PROJETO DE PESQUISA ""PLATAFORMA DE ANÁLISE DA REDUÇÃO DO CONSUMO DE ENERGIA E CONFIGURAÇÃO DO CONTROLE DE PRESSÃO EM SISTEMAS DE IRRIGAÇÃO PIVÔ CENTRAL""",TECNOLOGIA E PRODUÇÃO,2,UNIVERSIDADE,0,06/09/2022
PJ074-2022,GEMLIS,CULTURA,1,N.A.,0,06/09/2022
PJ076-2022,DESCARACTERIZAÇÃO DE TVBOX TX9 PARA USO EDUCACIONAL EM ESCOLAS PÚBLICAS DA MICROREGIÃO DE CATAGUASES,EDUCAÇÃO,2,ÓRGÃO PÚBLICO,0,06/09/2022